@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {DecryptionData,RegularProcessingData,EncryptionData}

@DATA
0.117579,0.030406,3.287342,0.161146,0.172770,1.238666,0.001516,0.172195,-21.824434,0.631018,-0.109592,0.255425,0.233890,0.116351,0.067596,-0.052759,0.132305,-0.079380,0.114366,-0.037278,-0.035808,0.012312,0.003838,0.010517,0.008634,0.010749,0.009547,0.018604,0.003019,0.004634,0.006315,0.008430,0.007753,0.006096,0.007014,0.003926,0.023470,0.004849,0.005610,0.054794,0.000285,0.004150,0.169104,0.157350,0.153433,0.157246,0.131077,0.140571,0.143179,0.140740,0.141389,0.136019,0.136907,0.132531,0.112253,0.005212,0.001982,0.004609,0.003943,0.005456,0.007159,0.008340,0.002015,0.002361,0.003368,0.003667,0.003281,0.002329,RegularProcessingData
0.117170,0.040568,3.289648,0.161919,0.174018,1.243741,0.001426,0.172893,-21.403907,0.607823,-0.088138,0.307467,0.252799,0.095157,0.058398,-0.068306,0.123283,-0.056578,0.131426,-0.049216,-0.041073,0.008956,0.003777,0.011664,0.007227,0.010707,0.007605,0.021069,0.002635,0.005489,0.006557,0.008554,0.008838,0.006132,0.005636,0.003358,0.015350,0.004240,0.004985,0.038989,0.000171,0.003380,0.152118,0.142198,0.141802,0.138482,0.138883,0.129171,0.135032,0.126100,0.127960,0.129695,0.131201,0.127747,0.127680,0.004178,0.001807,0.005177,0.003413,0.005563,0.003588,0.008588,0.001454,0.002757,0.003160,0.003841,0.003422,0.001852,RegularProcessingData
0.118463,0.040156,3.290738,0.163125,0.176339,1.250509,0.001432,0.173395,-21.397467,0.625453,-0.101446,0.308110,0.255099,0.090435,0.075248,-0.055614,0.119638,-0.044084,0.144993,-0.033367,-0.020676,0.008298,0.003740,0.012227,0.006557,0.010631,0.007410,0.019600,0.002931,0.005626,0.006716,0.010154,0.008633,0.005885,0.006619,0.003909,0.013607,0.004649,0.005783,0.044172,0.000193,0.004085,0.146518,0.143294,0.144984,0.139153,0.135845,0.131519,0.144217,0.134109,0.126380,0.125053,0.127726,0.123554,0.121931,0.003934,0.001844,0.005379,0.003045,0.005380,0.003636,0.008306,0.002054,0.002833,0.003153,0.004113,0.003790,0.001655,RegularProcessingData
0.118518,0.035153,3.288125,0.162208,0.174031,1.246003,0.001459,0.172857,-21.602305,0.656293,-0.074118,0.271104,0.241471,0.104478,0.057751,-0.067053,0.123837,-0.073004,0.104614,-0.064734,-0.019413,0.012406,0.003585,0.011301,0.008664,0.011128,0.008437,0.017307,0.003096,0.004853,0.006146,0.008898,0.007721,0.005835,0.007130,0.004003,0.018282,0.004634,0.005284,0.054510,0.000222,0.003941,0.172691,0.165279,0.145243,0.145840,0.142355,0.130803,0.129571,0.130872,0.131293,0.129549,0.119039,0.135279,0.124324,0.007041,0.001800,0.005951,0.003802,0.005714,0.005025,0.006574,0.001823,0.002507,0.003330,0.004061,0.003254,0.001934,RegularProcessingData
0.117235,0.047152,3.290173,0.162446,0.174802,1.240229,0.001423,0.171892,-21.247353,0.647698,-0.032723,0.315248,0.219687,0.037184,0.038124,0.011720,0.198162,-0.141134,0.024956,-0.032824,0.029904,0.014912,0.003414,0.012172,0.006190,0.011423,0.006516,0.016320,0.002175,0.003340,0.006348,0.010095,0.009700,0.006467,0.006708,0.004652,0.014033,0.005169,0.006201,0.050402,0.000172,0.004160,0.150808,0.160380,0.140419,0.147071,0.150138,0.144089,0.121428,0.136309,0.128258,0.136073,0.131446,0.127554,0.121654,0.007611,0.001746,0.007124,0.003213,0.006469,0.004167,0.006621,0.001299,0.001568,0.003262,0.005624,0.003498,0.002559,RegularProcessingData
0.119672,0.036896,3.288798,0.161972,0.172524,1.255737,0.001410,0.172809,-21.547546,0.586559,-0.095908,0.282663,0.238664,0.083597,0.024220,-0.058679,0.136332,-0.095983,0.100276,-0.056965,-0.019264,0.013054,0.003560,0.010781,0.009026,0.009692,0.008422,0.017473,0.002613,0.004310,0.005854,0.008480,0.007384,0.005612,0.006875,0.003563,0.016753,0.004383,0.005192,0.044461,0.000185,0.003555,0.171678,0.164420,0.136269,0.155227,0.128321,0.123930,0.137870,0.126362,0.131483,0.142930,0.133078,0.130877,0.121506,0.005201,0.001726,0.004846,0.003955,0.005206,0.004364,0.006847,0.001517,0.002120,0.002464,0.004034,0.003166,0.001536,RegularProcessingData
0.120535,0.043313,3.291146,0.163710,0.173764,1.273227,0.001392,0.174253,-21.335267,0.551724,-0.116704,0.276024,0.238454,0.078852,0.036761,-0.074615,0.145371,-0.070000,0.112263,-0.041310,-0.013785,0.008273,0.003570,0.010198,0.008151,0.008541,0.007590,0.017377,0.002717,0.004450,0.005997,0.008336,0.008681,0.004996,0.005510,0.003248,0.014483,0.004126,0.005189,0.031878,0.000147,0.003356,0.137115,0.136738,0.132854,0.134402,0.128398,0.132857,0.136414,0.138078,0.123339,0.134171,0.121569,0.123423,0.128488,0.003360,0.001604,0.004773,0.003339,0.004262,0.003689,0.006601,0.001607,0.002221,0.002854,0.003590,0.003242,0.001402,RegularProcessingData
0.118295,0.034721,3.288872,0.163701,0.176019,1.250700,0.001445,0.172787,-21.617407,0.656079,-0.086665,0.257784,0.220930,0.071262,0.049933,-0.053807,0.148297,-0.060962,0.127823,-0.048646,-0.020379,0.010383,0.003687,0.011456,0.008228,0.010682,0.008021,0.018613,0.003130,0.004629,0.006417,0.008920,0.008158,0.005755,0.007667,0.003877,0.016419,0.006022,0.007171,0.058131,0.000215,0.004013,0.167684,0.168842,0.143772,0.138285,0.146042,0.137326,0.139592,0.137666,0.133249,0.130878,0.123965,0.133811,0.123235,0.005392,0.001674,0.005045,0.003812,0.005511,0.004245,0.007717,0.002267,0.002092,0.003776,0.004210,0.003377,0.001848,RegularProcessingData
0.116318,0.041107,3.286571,0.160170,0.173893,1.223398,0.001459,0.171473,-21.352316,0.731179,-0.059879,0.268132,0.184901,0.074424,0.073577,-0.054088,0.105072,-0.091189,0.131266,-0.065964,-0.044476,0.012391,0.003636,0.014736,0.009411,0.012359,0.007873,0.018201,0.002610,0.005315,0.006018,0.008863,0.007484,0.006370,0.006952,0.003889,0.016147,0.004787,0.005909,0.052571,0.000163,0.004151,0.176998,0.162060,0.140645,0.149439,0.152001,0.134389,0.133106,0.134586,0.130507,0.134254,0.135552,0.143983,0.126268,0.005797,0.001952,0.007386,0.004424,0.007342,0.004297,0.007001,0.001581,0.002433,0.003102,0.004240,0.003576,0.001846,RegularProcessingData
0.120456,0.049802,3.291303,0.161996,0.171682,1.261496,0.001374,0.173699,-21.158139,0.529952,-0.114897,0.312959,0.249380,0.094490,0.012985,-0.082130,0.124339,-0.082808,0.153747,-0.038623,-0.026710,0.012743,0.003274,0.011049,0.007961,0.009471,0.007425,0.017888,0.002821,0.004441,0.005540,0.008198,0.007496,0.005588,0.006154,0.003576,0.012894,0.004311,0.005099,0.038020,0.000155,0.003615,0.138468,0.144226,0.134174,0.132815,0.137490,0.135532,0.125814,0.128857,0.125017,0.131526,0.131408,0.134066,0.138797,0.005020,0.001670,0.005263,0.003192,0.005026,0.003365,0.007256,0.001404,0.002228,0.002733,0.003705,0.003041,0.001712,RegularProcessingData
0.119275,0.040603,3.288557,0.169540,0.185339,1.242866,0.001401,0.172201,-21.401412,0.632751,-0.116099,0.258698,0.216481,0.101768,0.077343,-0.034906,0.154573,-0.067615,0.127301,-0.036279,-0.052619,0.010976,0.003737,0.011216,0.009004,0.009924,0.007428,0.019496,0.003001,0.004214,0.005872,0.008519,0.007688,0.006009,0.007584,0.004225,0.015066,0.006397,0.007766,0.059214,0.000219,0.004098,0.152154,0.168370,0.126053,0.131012,0.133152,0.141625,0.130663,0.124659,0.139733,0.128794,0.125902,0.137127,0.131166,0.004005,0.002435,0.004995,0.004301,0.005447,0.005172,0.008139,0.002211,0.002046,0.002653,0.004095,0.003175,0.002127,EncryptionData
0.119605,0.044663,3.288678,0.170424,0.185437,1.255205,0.001423,0.172945,-21.319227,0.611014,-0.096697,0.276602,0.214966,0.044505,0.102290,0.036168,0.189455,-0.103278,0.067681,-0.035412,-0.002893,0.012004,0.004507,0.012092,0.005656,0.009660,0.006069,0.016517,0.002865,0.004011,0.006560,0.009665,0.008900,0.005857,0.008104,0.005252,0.016164,0.006510,0.008129,0.058778,0.000238,0.004554,0.158291,0.171033,0.133458,0.142864,0.151105,0.132977,0.141838,0.147335,0.122285,0.130048,0.130989,0.135264,0.133724,0.005543,0.003300,0.005620,0.002793,0.004736,0.003067,0.007731,0.001999,0.002195,0.003900,0.006210,0.003938,0.002117,EncryptionData
0.120869,0.013393,3.288890,0.171890,0.186620,1.263549,0.001391,0.172547,-23.079514,0.540845,-0.116065,0.319826,0.242652,0.079420,0.079977,0.009903,0.211708,-0.102280,0.070819,0.012141,0.045058,0.013073,0.003514,0.010342,0.005634,0.011158,0.005419,0.017023,0.003079,0.003696,0.005767,0.007958,0.009019,0.005647,0.008606,0.003649,0.018312,0.008516,0.008691,0.069764,0.000233,0.007224,0.260775,0.175169,0.170309,0.139648,0.135862,0.145666,0.153202,0.146090,0.143853,0.136275,0.123764,0.124501,0.114528,0.004161,0.001761,0.004374,0.002704,0.005680,0.003126,0.007402,0.002557,0.002064,0.002944,0.003526,0.003579,0.001528,EncryptionData
0.117927,0.010493,3.284034,0.168620,0.184773,1.234686,0.001474,0.170974,-23.289386,0.650937,-0.123783,0.247314,0.196230,0.101713,0.088839,-0.059870,0.117870,-0.098023,0.090873,-0.079433,-0.038702,0.012490,0.003750,0.013312,0.009559,0.010651,0.007752,0.017556,0.003157,0.004675,0.005822,0.008249,0.007517,0.006083,0.008530,0.002162,0.038186,0.007468,0.007609,0.073379,0.000316,0.006573,0.221468,0.190411,0.130909,0.160460,0.179864,0.139581,0.140518,0.125459,0.134417,0.137546,0.145815,0.143111,0.139830,0.005638,0.001937,0.006848,0.004982,0.005684,0.004320,0.007388,0.002090,0.002486,0.003142,0.004465,0.003471,0.002132,EncryptionData
0.118487,0.013426,3.288691,0.170445,0.186869,1.240051,0.001369,0.172380,-22.934075,0.670704,-0.084551,0.280109,0.241929,0.080290,0.070607,-0.033993,0.182171,-0.096117,0.057858,-0.018365,0.039717,0.010099,0.003650,0.010930,0.005382,0.011017,0.006836,0.017749,0.002536,0.004911,0.006720,0.008960,0.010508,0.005856,0.007821,0.001344,0.016939,0.006728,0.007883,0.055188,0.000179,0.004762,0.157900,0.143511,0.138794,0.126603,0.143150,0.152935,0.143110,0.129054,0.121750,0.133927,0.134141,0.142034,0.132133,0.006397,0.002509,0.005157,0.002455,0.005051,0.003842,0.007796,0.001686,0.003144,0.003636,0.004382,0.003737,0.001999,EncryptionData
0.119609,0.036352,3.292011,0.169587,0.184835,1.253750,0.001367,0.172997,-21.532249,0.617625,-0.110694,0.278028,0.190572,0.063360,0.060855,-0.046834,0.154599,-0.098977,0.095097,-0.072687,-0.031140,0.016329,0.003556,0.012163,0.008286,0.010229,0.007741,0.017263,0.003161,0.004426,0.005925,0.007742,0.006624,0.005914,0.006637,0.003241,0.013940,0.005846,0.006983,0.042947,0.000160,0.003792,0.155083,0.138253,0.129506,0.141332,0.148448,0.143632,0.118687,0.133442,0.118771,0.132736,0.131769,0.120775,0.117903,0.005228,0.001986,0.005576,0.003665,0.005356,0.003660,0.007396,0.001916,0.002427,0.002769,0.003103,0.003031,0.001739,EncryptionData
0.116377,0.033803,3.286812,0.167659,0.185651,1.212802,0.001447,0.170646,-21.631661,0.677604,-0.159848,0.281802,0.234619,0.034983,0.066563,-0.005297,0.153739,-0.094167,0.112030,-0.040873,-0.057561,0.011417,0.004165,0.013187,0.008922,0.011424,0.006435,0.017589,0.002903,0.004676,0.006606,0.008883,0.007798,0.006178,0.008315,0.003817,0.018443,0.006499,0.006798,0.060551,0.000225,0.004274,0.188956,0.183185,0.131082,0.163703,0.151788,0.145770,0.133639,0.132857,0.136673,0.135563,0.135113,0.142014,0.125730,0.004645,0.002353,0.007609,0.004713,0.006756,0.004146,0.007914,0.001733,0.002402,0.003572,0.003571,0.003655,0.001977,EncryptionData
0.121233,0.049991,3.291715,0.169770,0.183867,1.263746,0.001326,0.173641,-21.136736,0.536372,-0.146621,0.303815,0.251400,0.125246,0.070776,-0.028521,0.185532,-0.060227,0.148116,-0.065507,-0.063919,0.014642,0.003583,0.009963,0.008177,0.010219,0.006104,0.018309,0.002946,0.004107,0.005555,0.008569,0.006725,0.005643,0.005345,0.003082,0.013840,0.006128,0.007594,0.035756,0.000159,0.003675,0.127253,0.133837,0.133083,0.127631,0.119214,0.129824,0.138076,0.127256,0.109469,0.127852,0.115466,0.132055,0.126525,0.004720,0.001709,0.003960,0.003377,0.004406,0.003165,0.007285,0.001773,0.001982,0.003046,0.003435,0.002843,0.001413,EncryptionData
0.120064,0.045913,3.291424,0.170538,0.186310,1.251356,0.001354,0.173628,-21.247353,0.593175,-0.098982,0.307654,0.266734,0.099622,0.073684,-0.015775,0.163581,-0.120091,0.043770,-0.018654,0.039372,0.011002,0.003257,0.011505,0.005342,0.010996,0.005519,0.018280,0.002676,0.003925,0.005905,0.010060,0.010780,0.006021,0.006548,0.003503,0.014012,0.007016,0.008249,0.045829,0.000179,0.004200,0.155174,0.138539,0.133628,0.139452,0.138064,0.137268,0.137516,0.121907,0.121311,0.124757,0.128957,0.136730,0.120361,0.004976,0.001957,0.004371,0.002619,0.005760,0.002928,0.007939,0.001473,0.002227,0.002799,0.005359,0.003818,0.001725,EncryptionData
0.120391,0.045402,3.289815,0.171537,0.186765,1.259769,0.001343,0.173344,-21.282761,0.590771,-0.109435,0.276967,0.230166,0.067263,0.040636,-0.027914,0.182498,-0.109221,0.073122,-0.021355,0.056962,0.011867,0.003421,0.010474,0.005438,0.010423,0.007360,0.015215,0.002420,0.003823,0.006180,0.008575,0.009355,0.005288,0.006617,0.004281,0.015314,0.006893,0.007611,0.048453,0.000184,0.004110,0.153095,0.168404,0.142287,0.134331,0.136117,0.136892,0.124758,0.131649,0.125992,0.126833,0.137860,0.121367,0.108903,0.005574,0.001620,0.004517,0.002394,0.004775,0.005179,0.005903,0.001341,0.002022,0.003474,0.003601,0.003521,0.001622,EncryptionData
